Case ID,Number of nodes,Probability,Number of edges in MST,Selected root node,Time taken to perform the packing coloring,Maximum reusable colors used,Total colors used,Uniquely used colors,1,2,One Fraction
82,7144,0.002312,7143,3262,0.0382458 seconds,193,193,0,5800,548,81.187%
83,7169,0.002305,7168,31,0.0303789 seconds,150,150,0,5787,550,80.7226%
84,7197,0.002297,7196,1774,0.0328289 seconds,177,177,0,5823,539,80.9087%
85,7203,0.002419,7202,30,0.0309925 seconds,159,159,0,5869,536,81.4799%
86,7235,0.002410,7234,39,0.0357698 seconds,175,175,0,5909,512,81.6724%
87,7236,0.002410,7235,3,0.0415777 seconds,195,195,0,5894,519,81.4538%
88,7298,0.002392,7297,1052,0.0334968 seconds,169,169,0,5959,537,81.6525%
89,7490,0.002457,7489,17,0.0439207 seconds,186,186,0,6142,543,82.0027%
90,7608,0.002423,7607,4587,0.038701 seconds,198,198,0,6249,533,82.1372%
91,7838,0.002360,7837,24,0.0377875 seconds,181,181,0,6445,554,82.2276%
92,8049,0.002305,8048,54,0.0376685 seconds,156,156,0,6602,581,82.0226%
93,8071,0.002412,8070,35,0.0417767 seconds,188,188,0,6685,544,82.8274%
94,8102,0.002404,8101,7840,0.0423542 seconds,175,175,0,6692,546,82.5969%
95,8272,0.002360,8271,6626,0.0409402 seconds,185,185,0,6854,563,82.8578%
96,8322,0.002457,8321,23,0.0486403 seconds,206,206,0,6953,522,83.5496%
97,8504,0.002410,8503,6598,0.0464201 seconds,183,183,0,7082,546,83.2785%
98,8576,0.002392,8575,42,0.0402268 seconds,187,187,0,7158,558,83.4655%
99,8708,0.002360,8707,2324,0.0469291 seconds,203,203,0,7254,555,83.3027%
100,8816,0.002438,8815,4021,0.0482936 seconds,212,212,0,7384,551,83.7568%
101,8907,0.002416,8906,13,0.0531205 seconds,218,218,0,7488,550,84.0687%
102,8973,0.002502,8972,15,0.0558756 seconds,203,203,0,7547,559,84.1079%
103,9001,0.002496,9000,26,0.0542748 seconds,227,227,0,7598,538,84.4128%
104,9024,0.002490,9023,6647,0.0493979 seconds,199,199,0,7615,548,84.3861%
105,9037,0.002588,9036,65,0.0575413 seconds,228,228,0,7650,526,84.652%
106,9274,0.002529,9273,8942,0.0446977 seconds,185,185,0,7882,533,84.9903%
107,9408,0.002497,9407,1202,0.05244 seconds,229,229,0,7990,549,84.9277%
108,9443,0.002587,9442,3886,0.0499307 seconds,206,206,0,8067,537,85.4284%
109,9540,0.002564,9539,28,0.0449971 seconds,188,188,0,8146,539,85.3878%
110,9574,0.002652,9573,3136,0.0522722 seconds,204,204,0,8205,523,85.7009%
111,9684,0.002625,9683,1,0.0690575 seconds,250,250,0,8249,535,85.1817%
112,9731,0.002614,9730,2,0.0550427 seconds,215,215,0,8317,555,85.4691%
113,9779,0.002697,9778,5,0.0523648 seconds,195,195,0,8427,523,86.1745%
