Case ID,Nodes,Edges,Starting Node,Duration,Total Colors Used,n/x Ratio,Color 1 Count,Color 2 Count,Color 1 Ratio,Total Leaves
1,30567,30566,4,1.74976 seconds,1148,n/26,17637,6070,57.6995%,13952,
2,45313,45312,2,3.75265 seconds,1676,n/27,26131,9000,57.6678%,20700,
3,34129,34128,4,1.85074 seconds,1211,n/28,19686,6786,57.6812%,15525,
4,18509,18508,23,0.547518 seconds,694,n/26,10688,3669,57.7449%,8425,
5,32707,32706,15,1.94331 seconds,1229,n/26,18771,6527,57.3914%,14870,
6,47345,47344,1,3.95162 seconds,1776,n/26,27256,9449,57.5689%,21490,
7,19997,19996,11,0.73358 seconds,804,n/24,11484,3984,57.4286%,9135,
8,27281,27280,2,1.2939 seconds,1025,n/26,15691,5414,57.5162%,12405,
9,49136,49135,87,4.4364 seconds,1841,n/26,28281,9791,57.5566%,22430,
10,16974,16973,31,0.537599 seconds,656,n/25,9758,3375,57.4879%,7790,
