Case ID,Nodes,Edges,Starting Node,Duration,Total Colors Used,n/x Ratio,Color 1 Count,Color 2 Count,Color 1 Ratio,Total Leaves
1,27696,27695,11,2.12347 seconds,1404,n/19,16223,5339,58.5752%,13327,
2,47984,47983,38,6.20615 seconds,2482,n/19,28143,9193,58.6508%,23172,
3,38448,38447,9,4.23243 seconds,1957,n/19,22526,7445,58.5882%,18466,
4,21553,21552,1,1.24437 seconds,1148,n/18,12633,4126,58.6137%,10362,
5,37684,37683,3,4.31422 seconds,1945,n/19,22148,7202,58.773%,18239,
6,24029,24028,10,1.7243 seconds,1249,n/19,14053,4659,58.4835%,11539,
7,46103,46102,10,6.8412 seconds,2342,n/19,27061,8832,58.6968%,22220,
8,30406,30405,29,2.39924 seconds,1572,n/19,17818,5849,58.6003%,14625,
9,38109,38108,14,3.85268 seconds,1924,n/19,22405,7311,58.7919%,18393,
10,32804,32803,3,2.86852 seconds,1661,n/19,19253,6298,58.691%,15830,
