Case ID,Nodes,Edges,Starting Node,Duration,Total Colors Used,n/x Ratio,Color 1 Count,Color 2 Count,Color 1 Ratio,Total Leaves
1,42364,42363,51,5.5468 seconds,2446,n/17,25045,8067,59.1186%,20781,
2,49597,49596,30,8.06327 seconds,2919,n/16,29266,9427,59.0076%,24395,
3,38312,38311,6,4.71983 seconds,2179,n/17,22579,7313,58.9345%,18696,
4,36736,36735,13,4.31372 seconds,2148,n/17,21702,6927,59.0756%,18102,
5,46077,46076,4,7.25746 seconds,2707,n/17,27206,8722,59.0446%,22574,
6,11036,11035,42,0.331053 seconds,660,n/16,6528,2077,59.1519%,5420,
7,14492,14491,13,0.595155 seconds,864,n/16,8556,2758,59.0395%,7111,
8,23894,23893,8,1.99161 seconds,1406,n/16,14121,4502,59.0985%,11835,
9,15478,15477,5,0.672481 seconds,916,n/16,9142,2932,59.0645%,7604,
10,49603,49602,23,8.9231 seconds,2956,n/16,29291,9418,59.0509%,24328,
