Case ID,Nodes,Edges,Starting Node,Duration,Total Colors Used,n/x Ratio,Color 1 Count,Color 2 Count,Color 1 Ratio,Total Leaves
1,6968,6967,6,0.144332 seconds,454,n/15,4169,1301,59.8307%,3510,
2,9943,9942,14,0.318606 seconds,617,n/16,5925,1852,59.5897%,4956,
3,9635,9634,18,0.290576 seconds,629,n/15,5762,1793,59.8028%,4846,
4,6892,6891,26,0.158339 seconds,462,n/14,4123,1278,59.823%,3463,
5,8047,8046,14,0.200834 seconds,545,n/14,4808,1484,59.749%,4056,
6,8073,8072,15,0.215422 seconds,545,n/14,4783,1496,59.2469%,3999,
7,7859,7858,118,0.191214 seconds,512,n/15,4684,1471,59.6005%,3907,
8,6705,6704,15,0.123045 seconds,436,n/15,3984,1263,59.4183%,3345,
9,8103,8102,37,0.221566 seconds,561,n/14,4797,1535,59.2003%,3990,
10,6698,6697,12,0.130773 seconds,446,n/15,3955,1262,59.0475%,3328,
