Case ID,Nodes,Edges,Starting Node,Duration,Total Colors Used,n/x Ratio,Color 1 Count,Color 2 Count,Color 1 Ratio,Total Leaves
1,93232,93231,1,38.6065 seconds,6084,n/15,55619,17328,59.6566%,46611,
2,59529,59528,23,15.868 seconds,3842,n/15,35530,11111,59.6852%,29755,
3,93377,93376,325,36.1935 seconds,5967,n/15,55639,17456,59.5853%,46563,
4,88866,88865,68,31.9109 seconds,5703,n/15,53018,16569,59.6606%,44465,
5,52332,52331,27,10.8482 seconds,3357,n/15,31180,9765,59.5811%,26108,
